Name,IGDB_Name,Aggregated_Rating,Age_Ratings_IDs
Big Brain Academy,Big Brain Academy,75.0,"[696, 36739, 47438]"
Red Dead Redemption,Red Dead Redemption,91.8,"[188066, 44681, 63033, 63034, 63035, 63036, 63037]"
FIFA 15,FIFA 15,69.65731730838739,[128381]
Donkey Kong Country Returns,Donkey Kong Country Returns,86.0,"[13222, 56905, 56906, 47218, 190652]"
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,79.91666666666667,"[192433, 192434, 192435, 188404, 117271, 55864, 96218]"
The Legend of Zelda,The Legend of Zelda,80.13979682584802,"[35499, 47172, 47483, 64807]"
Assassin's Creed III,Assassin's Creed III,81.17647058823529,"[188352, 101929, 36147, 105498, 105499, 105500]"
Halo: Combat Evolved,Halo: Combat Evolved,86.66666666666667,"[6321, 32507]"
Pokémon Emerald Version,Pokémon Emerald Version,60.0,"[154216, 32105, 190764]"
Kingdom Hearts,Kingdom Hearts,80.0,"[64972, 28839]"
Pokémon Crystal Version,Pokémon Crystal Version,85.0,"[117671, 8674, 64722, 98543]"
Halo 3: ODST,Halo 3: ODST,77.66666666666667,"[116036, 7979, 7980, 67889, 125332, 146260]"
Red Dead Redemption,Red Dead Redemption,91.8,"[188066, 44681, 63033, 63034, 63035, 63036, 63037]"
Super Mario Sunshine,Super Mario Sunshine,90.0,"[112192, 112193, 112194, 112195, 112196, 112197, 84424, 8716, 47150, 62643, 62644, 190233, 112191]"
Street Fighter II: The World Warrior,Street Fighter II: The World Warrior,75.06329422368881,"[99536, 35651, 64732]"
World of Warcraft,World of Warcraft,86.25,"[188834, 36348, 67669]"
Driver,Driver,95.0,"[28157, 7894]"
Kinect Sports,Kinect Sports,75.0,"[47632, 27567]"
Gears of War 3,Gears of War 3,96.66666666666667,"[108104, 44847, 92656, 188564, 91576]"
Gears of War,Gears of War,83.75,"[67972, 108100, 93767, 167787, 34779, 1215]"
Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty,90.0,"[90532, 94732, 47731, 47732, 47734]"
Sonic the Hedgehog 2,Sonic the Hedgehog 2,,[]
Metal Gear Solid 4: Guns of the Patriots,Metal Gear Solid 4: Guns of the Patriots,93.875,"[7340, 45357, 90540, 131949, 131950, 81741, 69009]"
Metal Gear Solid,Metal Gear Solid,80.0,"[21378, 90531, 78983, 75059, 3039]"
The Last of Us,The Last of Us,91.53846153846153,"[189700, 47769, 47770, 47771, 47772, 47773, 23999]"
Final Fantasy XII,Final Fantasy XII,90.75,"[6465, 26305, 54357]"
LittleBigPlanet,LittleBigPlanet,96.0,"[79682, 69899, 88972, 88973, 28976, 28977, 28985]"
Dragon Quest IX: Sentinels of the Starry Skies,Dragon Quest IX: Sentinels of the Starry Skies,86.14285714285714,"[189769, 36756, 47229]"
LEGO Star Wars: The Complete Saga,LEGO Star Wars: The Complete Saga,85.0,"[13236, 124085, 96502, 91445, 111260, 74526]"
Resident Evil 2,Resident Evil 2,,[]
Tekken 2,Tekken 2,79.99882931482804,"[177985, 210659, 210660, 210661]"
Cooking Mama,Cooking Mama,68.5,"[7118, 7125, 7126, 7119]"
Destiny,Destiny,78.29411764705883,"[36371, 190582]"
Tetris,Tetris,,[]
Assassin's Creed II,Assassin's Creed II,90.25,"[188870, 126484, 117302, 108697, 79322, 36060, 94559]"
Super Smash Bros.,Super Smash Bros.,85.0,"[82857, 68547, 49228]"
Assassin's Creed,Assassin's Creed III,81.17647058823529,"[188352, 101929, 36147, 105498, 105499, 105500]"
Batman: Arkham City,Batman: Arkham City,91.2,"[188641, 34055, 112974, 112975, 112976, 112977, 67923]"
Forza Motorsport 3,Forza Motorsport 3,90.4,"[190198, 168105, 67902]"
Monster Hunter Freedom Unite,Monster Hunter Freedom Unite,80.0,"[80176, 64970]"
Super Mario Advance,Super Mario Advance,77.5,"[20147, 98140, 64799]"
Mario Kart: Super Circuit,Mario Kart: Super Circuit,90.0,"[47122, 49173, 340, 98138]"
Super Mario World,Super Mario World,81.9047619047619,"[155587, 155588, 155589]"
Pokemon Stadium,Pokémon Stadium,72.89451777541204,"[70128, 80004, 49132, 70129]"
Call of Duty: World at War,Call of Duty: World at War,80.0,"[5332, 92540, 189799]"
Crash Bandicoot: The Wrath of Cortex,Crash Bandicoot: The Wrath of Cortex,62.0,[48177]
